ダウンロードした時刻：2024/07/27 12:23:55

,新庄,新庄,新庄,新庄
2024/7/25 21:00:00,28.0,0,8,1
2024/7/25 22:00:00,67.5,0,8,1
2024/7/25 23:00:00,35.5,0,8,1
2024/7/26 00:00:00,41.5,0,8,1
2024/7/26 1:00:00,13.5,0,8,1
2024/7/26 2:00:00,7.5,0,8,1
2024/7/26 3:00:00,6.0,0,8,1
2024/7/26 4:00:00,1.0,0,8,1
2024/7/26 5:00:00,1.5,0,8,1
2024/7/26 6:00:00,3.5,0,8,1
2024/7/26 7:00:00,0.5,0,8,1
2024/7/26 8:00:00,1.0,0,8,1
2024/7/26 9:00:00,0.0,0,8,1
2024/7/26 10:00:00,0.0,0,8,1
2024/7/26 11:00:00,0.0,0,8,1
2024/7/26 12:00:00,0.0,0,8,1
2024/7/26 13:00:00,0.0,0,8,1
2024/7/26 14:00:00,0.0,0,8,1
2024/7/26 15:00:00,0.0,0,8,1
2024/7/26 16:00:00,0,1,8,1
2024/7/26 17:00:00,0,1,8,1
2024/7/26 18:00:00,0,1,8,1
2024/7/26 19:00:00,0,1,8,1
2024/7/26 20:00:00,0,1,8,1
2024/7/26 21:00:00,0,1,8,1
2024/7/26 22:00:00,0,1,8,1
2024/7/26 23:00:00,0,1,8,1
2024/7/27 00:00:00,0,1,8,1
