É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/06/11 18:06:25

,ç≤âÍ,ç≤âÍ,ç≤âÍ,ç≤âÍ
2025/6/9 16:00:00,6.0,0,8,1
2025/6/9 17:00:00,0.5,0,8,1
2025/6/9 18:00:00,0.5,0,8,1
2025/6/9 19:00:00,0.5,0,8,1
2025/6/9 20:00:00,0.0,0,8,1
2025/6/9 21:00:00,1.0,0,8,1
2025/6/9 22:00:00,0.5,0,8,1
2025/6/9 23:00:00,0.0,0,8,1
2025/6/10 00:00:00,0.0,0,8,1
2025/6/10 1:00:00,0.0,0,8,1
2025/6/10 2:00:00,3.5,0,8,1
2025/6/10 3:00:00,3.0,0,8,1
2025/6/10 4:00:00,4.5,0,8,1
2025/6/10 5:00:00,27.5,0,8,1
2025/6/10 6:00:00,6.5,0,8,1
2025/6/10 7:00:00,9.0,0,8,1
2025/6/10 8:00:00,22.0,0,8,1
2025/6/10 9:00:00,39.0,0,8,1
2025/6/10 10:00:00,11.0,0,8,1
2025/6/10 11:00:00,1.5,0,8,1
2025/6/10 12:00:00,0.0,0,8,1
2025/6/10 13:00:00,0.0,0,8,1
2025/6/10 14:00:00,1.0,0,8,1
2025/6/10 15:00:00,0.5,0,8,1
2025/6/10 16:00:00,0.5,0,8,1
2025/6/10 17:00:00,0.0,0,8,1
2025/6/10 18:00:00,3.0,0,8,1
2025/6/10 19:00:00,0.0,0,8,1
2025/6/10 20:00:00,1.0,0,8,1
2025/6/10 21:00:00,0.0,0,8,1
2025/6/10 22:00:00,1.0,0,8,1
2025/6/10 23:00:00,0.0,0,8,1
2025/6/11 00:00:00,0.0,0,8,1
