É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/06/10 03:32:27

,éwèh,éwèh,éwèh
2025/5/27 3:00:00,0.0,8,1
2025/5/27 4:00:00,0.0,8,1
2025/5/27 5:00:00,0.0,8,1
2025/5/27 6:00:00,0.0,8,1
2025/5/27 7:00:00,0.0,8,1
2025/5/27 8:00:00,0.0,8,1
2025/5/27 9:00:00,0.0,8,1
2025/5/27 10:00:00,0.0,8,1
2025/5/27 11:00:00,0.0,8,1
2025/5/27 12:00:00,0.0,8,1
2025/5/27 13:00:00,0.0,8,1
2025/5/27 14:00:00,0.0,8,1
2025/5/27 15:00:00,0.0,8,1
2025/5/27 16:00:00,0.0,8,1
2025/5/27 17:00:00,0.0,8,1
2025/5/27 18:00:00,0.0,8,1
2025/5/27 19:00:00,0.0,8,1
2025/5/27 20:00:00,0.0,8,1
2025/5/27 21:00:00,0.0,8,1
2025/5/27 22:00:00,0.0,8,1
2025/5/27 23:00:00,0.0,8,1
2025/5/28 00:00:00,0.0,8,1
2025/5/28 1:00:00,0.0,8,1
2025/5/28 2:00:00,0.0,8,1
2025/5/28 3:00:00,0.0,8,1
2025/5/28 4:00:00,0.0,8,1
2025/5/28 5:00:00,0.0,8,1
2025/5/28 6:00:00,0.0,8,1
2025/5/28 7:00:00,0.0,8,1
2025/5/28 8:00:00,0.0,8,1
2025/5/28 9:00:00,0.0,8,1
2025/5/28 10:00:00,0.0,8,1
2025/5/28 11:00:00,0.0,8,1
2025/5/28 12:00:00,0.0,8,1
2025/5/28 13:00:00,0.0,8,1
2025/5/28 14:00:00,0.0,8,1
2025/5/28 15:00:00,0.0,8,1
2025/5/28 16:00:00,0.0,8,1
2025/5/28 17:00:00,0.0,8,1
2025/5/28 18:00:00,0.0,8,1
2025/5/28 19:00:00,0.0,8,1
2025/5/28 20:00:00,0.0,8,1
2025/5/28 21:00:00,0.0,8,1
2025/5/28 22:00:00,0.0,8,1
2025/5/28 23:00:00,0.0,8,1
2025/5/29 00:00:00,0.0,8,1
2025/5/29 1:00:00,0.0,8,1
2025/5/29 2:00:00,0.0,8,1
2025/5/29 3:00:00,0.0,8,1
2025/5/29 4:00:00,0.0,8,1
2025/5/29 5:00:00,0.0,8,1
2025/5/29 6:00:00,0.0,8,1
2025/5/29 7:00:00,0.0,8,1
2025/5/29 8:00:00,0.0,8,1
2025/5/29 9:00:00,0.0,8,1
2025/5/29 10:00:00,0.5,8,1
2025/5/29 11:00:00,0.0,8,1
2025/5/29 12:00:00,0.0,8,1
2025/5/29 13:00:00,0.5,8,1
2025/5/29 14:00:00,0.0,8,1
2025/5/29 15:00:00,0.0,8,1
2025/5/29 16:00:00,0.0,8,1
2025/5/29 17:00:00,0.0,8,1
2025/5/29 18:00:00,0.0,8,1
2025/5/29 19:00:00,0.0,8,1
2025/5/29 20:00:00,0.5,8,1
2025/5/29 21:00:00,0.5,8,1
2025/5/29 22:00:00,0.0,8,1
2025/5/29 23:00:00,0.0,8,1
2025/5/30 00:00:00,0.0,8,1
2025/5/30 1:00:00,0.0,8,1
2025/5/30 2:00:00,0.0,8,1
2025/5/30 3:00:00,0.0,8,1
2025/5/30 4:00:00,0.5,8,1
2025/5/30 5:00:00,0.0,8,1
2025/5/30 6:00:00,0.0,8,1
2025/5/30 7:00:00,0.0,8,1
2025/5/30 8:00:00,0.5,8,1
2025/5/30 9:00:00,0.5,8,1
2025/5/30 10:00:00,1.5,8,1
2025/5/30 11:00:00,0.0,8,1
2025/5/30 12:00:00,0.0,8,1
2025/5/30 13:00:00,2.0,8,1
2025/5/30 14:00:00,0.0,8,1
2025/5/30 15:00:00,0.0,8,1
2025/5/30 16:00:00,0.0,8,1
2025/5/30 17:00:00,0.0,8,1
2025/5/30 18:00:00,0.0,8,1
2025/5/30 19:00:00,0.0,8,1
2025/5/30 20:00:00,0.0,8,1
2025/5/30 21:00:00,0.0,8,1
2025/5/30 22:00:00,0.0,8,1
2025/5/30 23:00:00,0.0,8,1
2025/5/31 00:00:00,0.0,8,1
2025/5/31 1:00:00,0.0,8,1
2025/5/31 2:00:00,0.0,8,1
2025/5/31 3:00:00,0.0,8,1
2025/5/31 4:00:00,0.0,8,1
2025/5/31 5:00:00,0.0,8,1
2025/5/31 6:00:00,0.0,8,1
2025/5/31 7:00:00,0.0,8,1
2025/5/31 8:00:00,0.0,8,1
2025/5/31 9:00:00,0.0,8,1
2025/5/31 10:00:00,0.0,8,1
2025/5/31 11:00:00,0.0,8,1
2025/5/31 12:00:00,0.0,8,1
2025/5/31 13:00:00,0.0,8,1
2025/5/31 14:00:00,0.0,8,1
2025/5/31 15:00:00,0.0,8,1
2025/5/31 16:00:00,0.0,8,1
2025/5/31 17:00:00,0.0,8,1
2025/5/31 18:00:00,0.0,8,1
2025/5/31 19:00:00,0.0,8,1
2025/5/31 20:00:00,0.0,8,1
2025/5/31 21:00:00,0.0,8,1
2025/5/31 22:00:00,0.0,8,1
2025/5/31 23:00:00,0.0,8,1
2025/6/1 00:00:00,0.0,8,1
2025/6/1 1:00:00,0.0,8,1
2025/6/1 2:00:00,0.0,8,1
2025/6/1 3:00:00,0.0,8,1
2025/6/1 4:00:00,0.0,8,1
2025/6/1 5:00:00,0.0,8,1
2025/6/1 6:00:00,0.0,8,1
2025/6/1 7:00:00,0.0,8,1
2025/6/1 8:00:00,0.0,8,1
2025/6/1 9:00:00,0.0,8,1
2025/6/1 10:00:00,0.0,8,1
2025/6/1 11:00:00,0.0,8,1
2025/6/1 12:00:00,0.0,8,1
2025/6/1 13:00:00,0.0,8,1
2025/6/1 14:00:00,0.0,8,1
2025/6/1 15:00:00,0.0,8,1
2025/6/1 16:00:00,0.0,8,1
2025/6/1 17:00:00,0.0,8,1
2025/6/1 18:00:00,0.0,8,1
2025/6/1 19:00:00,0.0,8,1
2025/6/1 20:00:00,0.0,8,1
2025/6/1 21:00:00,0.0,8,1
2025/6/1 22:00:00,0.0,8,1
2025/6/1 23:00:00,0.0,8,1
2025/6/2 00:00:00,0.0,8,1
2025/6/2 1:00:00,0.0,8,1
2025/6/2 2:00:00,0.0,8,1
2025/6/2 3:00:00,0.0,8,1
2025/6/2 4:00:00,0.0,8,1
2025/6/2 5:00:00,0.0,8,1
2025/6/2 6:00:00,0.0,8,1
2025/6/2 7:00:00,0.0,8,1
2025/6/2 8:00:00,0.5,8,1
2025/6/2 9:00:00,0.5,8,1
2025/6/2 10:00:00,1.5,8,1
2025/6/2 11:00:00,4.5,8,1
2025/6/2 12:00:00,2.5,8,1
2025/6/2 13:00:00,0.5,8,1
2025/6/2 14:00:00,2.0,8,1
2025/6/2 15:00:00,1.5,8,1
2025/6/2 16:00:00,0.0,8,1
2025/6/2 17:00:00,0.0,8,1
2025/6/2 18:00:00,0.0,8,1
2025/6/2 19:00:00,0.0,8,1
2025/6/2 20:00:00,0.0,8,1
2025/6/2 21:00:00,0.5,8,1
2025/6/2 22:00:00,5.5,8,1
2025/6/2 23:00:00,1.0,8,1
2025/6/3 00:00:00,5.0,8,1
2025/6/3 1:00:00,6.0,8,1
2025/6/3 2:00:00,1.0,8,1
2025/6/3 3:00:00,1.5,8,1
2025/6/3 4:00:00,0.5,8,1
2025/6/3 5:00:00,0.0,8,1
2025/6/3 6:00:00,0.5,8,1
2025/6/3 7:00:00,0.0,8,1
2025/6/3 8:00:00,0.0,8,1
2025/6/3 9:00:00,0.0,8,1
2025/6/3 10:00:00,0.0,8,1
2025/6/3 11:00:00,0.5,8,1
2025/6/3 12:00:00,0.0,8,1
2025/6/3 13:00:00,0.0,8,1
2025/6/3 14:00:00,0.0,8,1
2025/6/3 15:00:00,0.0,8,1
2025/6/3 16:00:00,0.0,8,1
2025/6/3 17:00:00,0.0,8,1
2025/6/3 18:00:00,0.0,8,1
2025/6/3 19:00:00,0.0,8,1
2025/6/3 20:00:00,0.0,8,1
2025/6/3 21:00:00,0.0,8,1
2025/6/3 22:00:00,0.0,8,1
2025/6/3 23:00:00,0.0,8,1
2025/6/4 00:00:00,0.0,8,1
2025/6/4 1:00:00,0.0,8,1
2025/6/4 2:00:00,0.0,8,1
2025/6/4 3:00:00,0.0,8,1
2025/6/4 4:00:00,0.0,8,1
2025/6/4 5:00:00,0.0,8,1
2025/6/4 6:00:00,0.0,8,1
2025/6/4 7:00:00,0.0,8,1
2025/6/4 8:00:00,0.0,8,1
2025/6/4 9:00:00,0.0,8,1
2025/6/4 10:00:00,0.0,8,1
2025/6/4 11:00:00,0.0,8,1
2025/6/4 12:00:00,0.0,8,1
2025/6/4 13:00:00,0.0,8,1
2025/6/4 14:00:00,0.0,8,1
2025/6/4 15:00:00,0.0,8,1
2025/6/4 16:00:00,0.0,8,1
2025/6/4 17:00:00,0.0,8,1
2025/6/4 18:00:00,0.0,8,1
2025/6/4 19:00:00,0.0,8,1
2025/6/4 20:00:00,0.0,8,1
2025/6/4 21:00:00,0.0,8,1
2025/6/4 22:00:00,0.0,8,1
2025/6/4 23:00:00,0.0,8,1
2025/6/5 00:00:00,0.0,8,1
2025/6/5 1:00:00,0.0,8,1
2025/6/5 2:00:00,0.0,8,1
2025/6/5 3:00:00,0.0,8,1
2025/6/5 4:00:00,0.0,8,1
2025/6/5 5:00:00,0.0,8,1
2025/6/5 6:00:00,0.0,8,1
2025/6/5 7:00:00,0.0,8,1
2025/6/5 8:00:00,0.0,8,1
2025/6/5 9:00:00,0.0,8,1
2025/6/5 10:00:00,0.0,8,1
2025/6/5 11:00:00,0.0,8,1
2025/6/5 12:00:00,0.0,8,1
2025/6/5 13:00:00,0.0,8,1
2025/6/5 14:00:00,0.0,8,1
2025/6/5 15:00:00,0.0,8,1
2025/6/5 16:00:00,0.0,8,1
2025/6/5 17:00:00,0.0,8,1
2025/6/5 18:00:00,0.0,8,1
2025/6/5 19:00:00,0.0,8,1
2025/6/5 20:00:00,0.0,8,1
2025/6/5 21:00:00,0.0,8,1
2025/6/5 22:00:00,0.0,8,1
2025/6/5 23:00:00,0.0,8,1
2025/6/6 00:00:00,0.0,8,1
2025/6/6 1:00:00,0.0,8,1
2025/6/6 2:00:00,0.0,8,1
2025/6/6 3:00:00,0.0,8,1
2025/6/6 4:00:00,0.0,8,1
2025/6/6 5:00:00,0.0,8,1
2025/6/6 6:00:00,0.0,8,1
2025/6/6 7:00:00,0.0,8,1
2025/6/6 8:00:00,0.0,8,1
2025/6/6 9:00:00,0.0,8,1
2025/6/6 10:00:00,0.0,8,1
2025/6/6 11:00:00,0.0,8,1
2025/6/6 12:00:00,0.0,8,1
2025/6/6 13:00:00,0.0,8,1
2025/6/6 14:00:00,0.0,8,1
2025/6/6 15:00:00,0.0,8,1
2025/6/6 16:00:00,0.0,8,1
2025/6/6 17:00:00,0.0,8,1
2025/6/6 18:00:00,0.0,8,1
2025/6/6 19:00:00,0.0,8,1
2025/6/6 20:00:00,0.0,8,1
2025/6/6 21:00:00,0.0,8,1
2025/6/6 22:00:00,0.0,8,1
2025/6/6 23:00:00,0.0,8,1
2025/6/7 00:00:00,0.0,8,1
2025/6/7 1:00:00,0.0,8,1
2025/6/7 2:00:00,0.0,8,1
2025/6/7 3:00:00,0.0,8,1
2025/6/7 4:00:00,0.0,8,1
2025/6/7 5:00:00,0.0,8,1
2025/6/7 6:00:00,0.0,8,1
2025/6/7 7:00:00,0.0,8,1
2025/6/7 8:00:00,0.0,8,1
2025/6/7 9:00:00,0.0,8,1
2025/6/7 10:00:00,0.0,8,1
2025/6/7 11:00:00,0.0,8,1
2025/6/7 12:00:00,0.0,8,1
2025/6/7 13:00:00,0.0,8,1
2025/6/7 14:00:00,0.0,8,1
2025/6/7 15:00:00,0.0,8,1
2025/6/7 16:00:00,0.0,8,1
2025/6/7 17:00:00,0.0,8,1
2025/6/7 18:00:00,0.0,8,1
2025/6/7 19:00:00,0.0,8,1
2025/6/7 20:00:00,0.0,8,1
2025/6/7 21:00:00,0.0,8,1
2025/6/7 22:00:00,0.0,8,1
2025/6/7 23:00:00,0.0,8,1
2025/6/8 00:00:00,0.0,8,1
2025/6/8 1:00:00,0.0,8,1
2025/6/8 2:00:00,0.0,8,1
2025/6/8 3:00:00,0.0,8,1
2025/6/8 4:00:00,0.0,8,1
2025/6/8 5:00:00,0.0,8,1
2025/6/8 6:00:00,1.0,8,1
2025/6/8 7:00:00,1.5,8,1
2025/6/8 8:00:00,8.0,8,1
2025/6/8 9:00:00,1.0,8,1
2025/6/8 10:00:00,0.0,8,1
2025/6/8 11:00:00,0.0,8,1
2025/6/8 12:00:00,0.0,8,1
2025/6/8 13:00:00,0.5,8,1
2025/6/8 14:00:00,3.0,8,1
2025/6/8 15:00:00,7.5,8,1
2025/6/8 16:00:00,3.0,8,1
2025/6/8 17:00:00,7.0,8,1
2025/6/8 18:00:00,11.5,8,1
2025/6/8 19:00:00,15.5,8,1
2025/6/8 20:00:00,11.0,8,1
2025/6/8 21:00:00,5.5,8,1
2025/6/8 22:00:00,4.0,8,1
2025/6/8 23:00:00,6.0,8,1
2025/6/9 00:00:00,3.5,8,1
2025/6/9 1:00:00,0.0,8,1
2025/6/9 2:00:00,0.0,8,1
2025/6/9 3:00:00,0.0,8,1
2025/6/9 4:00:00,0.5,8,1
2025/6/9 5:00:00,12.0,8,1
2025/6/9 6:00:00,10.5,8,1
2025/6/9 7:00:00,9.5,8,1
2025/6/9 8:00:00,11.5,8,1
2025/6/9 9:00:00,11.0,8,1
2025/6/9 10:00:00,7.5,8,1
2025/6/9 11:00:00,15.0,8,1
2025/6/9 12:00:00,44.5,8,1
2025/6/9 13:00:00,52.0,8,1
2025/6/9 14:00:00,21.0,8,1
2025/6/9 15:00:00,6.5,8,1
2025/6/9 16:00:00,6.0,8,1
2025/6/9 17:00:00,21.0,8,1
2025/6/9 18:00:00,35.0,8,1
2025/6/9 19:00:00,47.5,8,1
2025/6/9 20:00:00,22.0,8,1
2025/6/9 21:00:00,11.0,8,1
2025/6/9 22:00:00,1.5,8,1
2025/6/9 23:00:00,0.0,8,1
2025/6/10 00:00:00,0.0,8,1
